[2026-05-10 09:59:42 UTC] iverilog '-Wall' '-g2012' design.sv testbench.sv  && unbuffer vvp a.out  
====================================================================
        BAUD RATE GENERATOR TESTBENCH - SIMULATION START           
====================================================================
   Time(ns)    Cycles    TX_Cnt   RX_Cnt   TX_enb   RX_enb
--------------------------------------------------------------------
      6510        324      324      324      0        1
     13010        649      649      324      0        1
     19510        974      974      324      0        1
     26010       1299     1299      324      0        1
     32510       1624     1624      324      0        1
     39010       1949     1949      324      0        1
     45510       2274     2274      324      0        1
     52010       2599     2599      324      0        1
     58510       2924     2924      324      0        1
     65010       3249     3249      324      0        1
     71510       3574     3574      324      0        1
     78010       3899     3899      324      0        1
     84510       4224     4224      324      0        1
     91010       4549     4549      324      0        1
     97510       4874     4874      324      0        1
    104010       5199     5199      324      0        1
    104170       5207     5207        7      1        0
    110510       5524      316      324      0        1
    117010       5849      641      324      0        1
    123510       6174      966      324      0        1
    130010       6499     1291      324      0        1
    136510       6824     1616      324      0        1
    143010       7149     1941      324      0        1
    149510       7474     2266      324      0        1
    156010       7799     2591      324      0        1
    162510       8124     2916      324      0        1
    169010       8449     3241      324      0        1
    175510       8774     3566      324      0        1
    182010       9099     3891      324      0        1
    188510       9424     4216      324      0        1
    195010       9749     4541      324      0        1
    201510      10074     4866      324      0        1
    208010      10399     5191      324      0        1
    208330      10415     5207       15      1        0
    214510      10724      308      324      0        1
    221010      11049      633      324      0        1
    227510      11374      958      324      0        1
    234010      11699     1283      324      0        1
    240510      12024     1608      324      0        1
    247010      12349     1933      324      0        1
    253510      12674     2258      324      0        1
    260010      12999     2583      324      0        1
    266510      13324     2908      324      0        1
    273010      13649     3233      324      0        1
    279510      13974     3558      324      0        1
    286010      14299     3883      324      0        1
    292510      14624     4208      324      0        1
    299010      14949     4533      324      0        1
    305510      15274     4858      324      0        1
    312010      15599     5183      324      0        1
    312490      15623     5207       23      1        0
    318510      15924      300      324      0        1
    325010      16249      625      324      0        1
    331510      16574      950      324      0        1
    338010      16899     1275      324      0        1
    344510      17224     1600      324      0        1
    351010      17549     1925      324      0        1
    357510      17874     2250      324      0        1
    364010      18199     2575      324      0        1
    370510      18524     2900      324      0        1
    377010      18849     3225      324      0        1
    383510      19174     3550      324      0        1
    390010      19499     3875      324      0        1
    396510      19824     4200      324      0        1
    403010      20149     4525      324      0        1
    409510      20474     4850      324      0        1
    416010      20799     5175      324      0        1
    416650      20831     5207       31      1        0
    422510      21124      292      324      0        1
    429010      21449      617      324      0        1
    435510      21774      942      324      0        1
    442010      22099     1267      324      0        1
    448510      22424     1592      324      0        1
    455010      22749     1917      324      0        1
    461510      23074     2242      324      0        1
    468010      23399     2567      324      0        1
    474510      23724     2892      324      0        1
    481010      24049     3217      324      0        1
    487510      24374     3542      324      0        1
    494010      24699     3867      324      0        1
    500510      25024     4192      324      0        1
    507010      25349     4517      324      0        1
    513510      25674     4842      324      0        1
    520010      25999     5167      324      0        1
    520810      26039     5207       39      1        0
    526510      26324      284      324      0        1
    533010      26649      609      324      0        1
    539510      26974      934      324      0        1
    546010      27299     1259      324      0        1
    552510      27624     1584      324      0        1
    559010      27949     1909      324      0        1
    565510      28274     2234      324      0        1
    572010      28599     2559      324      0        1
    578510      28924     2884      324      0        1
    585010      29249     3209      324      0        1
    591510      29574     3534      324      0        1
    598010      29899     3859      324      0        1
    604510      30224     4184      324      0        1
    611010      30549     4509      324      0        1
    617510      30874     4834      324      0        1
    624010      31199     5159      324      0        1
    624970      31247     5207       47      1        0
    630510      31524      276      324      0        1
    637010      31849      601      324      0        1
    643510      32174      926      324      0        1
    650010      32499     1251      324      0        1
    656510      32824     1576      324      0        1
    663010      33149     1901      324      0        1
    669510      33474     2226      324      0        1
    676010      33799     2551      324      0        1
    682510      34124     2876      324      0        1
    689010      34449     3201      324      0        1
    695510      34774     3526      324      0        1
    702010      35099     3851      324      0        1
    708510      35424     4176      324      0        1
    715010      35749     4501      324      0        1
    721510      36074     4826      324      0        1
    728010      36399     5151      324      0        1
    729130      36455     5207       55      1        0
    734510      36724      268      324      0        1
    741010      37049      593      324      0        1
    747510      37374      918      324      0        1
    754010      37699     1243      324      0        1
    760510      38024     1568      324      0        1
    767010      38349     1893      324      0        1
    773510      38674     2218      324      0        1
    780010      38999     2543      324      0        1
    786510      39324     2868      324      0        1
    793010      39649     3193      324      0        1
    799510      39974     3518      324      0        1
--------------------------------------------------------------------
                        SIMULATION SUMMARY                          
--------------------------------------------------------------------
Total Clock Cycles     : 39998
TX Pulses              : 7
Measured TX Baud Rate  : 9600.61 baud
Target Baud Rate       : 9600 baud
Error                  : -0.0064 %
====================================================================
testbench.sv:247: $finish called at 800000 (1s)
Done
